rotation_angle	 	 	initial	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
fix_space	q	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
fix_space	q	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
fix_space	q	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
fix_space	q	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
fix_space	q	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
fix_space	q	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
fix_space	q	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
fix_space	q	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
fix_space	q	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
fix_space	q	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
fix_space	q	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
fix_space	q	12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
upperarm	q	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
upperarm	q	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
upperarm	q	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
upperarm	q	4	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	
upperarm	q	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
upperarm	q	6	-0.49999999999999994	-0.49999999999999994	-0.49999999999999994	-0.49999999999999994	-0.49999999999999994	-0.49999999999999994	-0.49999999999999994	-0.49999999999999994	-0.49999999999999994	-0.49999999999999994	-0.49999999999999994	-0.49999999999999994	-0.49999999999999994	-0.49999999999999994	-0.49999999999999994	-0.49999999999999994	-0.49999999999999994	-0.49999999999999994	-0.49999999999999994	-0.49999999999999994	-0.49999999999999994	-0.49999999999999994	-0.49999999999999994	-0.49999999999999994	-0.49999999999999994	-0.49999999999999994	-0.49999999999999994	-0.49999999999999994	-0.49999999999999994	-0.49999999999999994	-0.49999999999999994	-0.49999999999999994	-0.49999999999999994	-0.49999999999999994	-0.49999999999999994	-0.49999999999999994	-0.49999999999999994	-0.49999999999999994	-0.49999999999999994	-0.49999999999999994	-0.49999999999999994	-0.49999999999999994	
upperarm	q	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
upperarm	q	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
upperarm	q	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
upperarm	q	10	0.49999999999999994	0.49999999999999994	0.49999999999999994	0.49999999999999994	0.49999999999999994	0.49999999999999994	0.49999999999999994	0.49999999999999994	0.49999999999999994	0.49999999999999994	0.49999999999999994	0.49999999999999994	0.49999999999999994	0.49999999999999994	0.49999999999999994	0.49999999999999994	0.49999999999999994	0.49999999999999994	0.49999999999999994	0.49999999999999994	0.49999999999999994	0.49999999999999994	0.49999999999999994	0.49999999999999994	0.49999999999999994	0.49999999999999994	0.49999999999999994	0.49999999999999994	0.49999999999999994	0.49999999999999994	0.49999999999999994	0.49999999999999994	0.49999999999999994	0.49999999999999994	0.49999999999999994	0.49999999999999994	0.49999999999999994	0.49999999999999994	0.49999999999999994	0.49999999999999994	0.49999999999999994	0.49999999999999994	
upperarm	q	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
upperarm	q	12	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	0.86602540378443871	
elbow	q	1	-0.086924999999999988	-0.086924999999999988	-0.086924999999999988	-0.086924999999999988	-0.086924999999999988	-0.086924999999999988	-0.086924999999999988	-0.086924999999999988	-0.086924999999999988	-0.086924999999999988	-0.086924999999999988	-0.086924999999999988	-0.086924999999999988	-0.086924999999999988	-0.086924999999999988	-0.086924999999999988	-0.086924999999999988	-0.086924999999999988	-0.086924999999999988	-0.086924999999999988	-0.086924999999999988	-0.086924999999999988	-0.086924999999999988	-0.086924999999999988	-0.086924999999999988	-0.086924999999999988	-0.086924999999999988	-0.086924999999999988	-0.086924999999999988	-0.086924999999999988	-0.086924999999999988	-0.086924999999999988	-0.086924999999999988	-0.086924999999999988	-0.086924999999999988	-0.086924999999999988	-0.086924999999999988	-0.086924999999999988	-0.086924999999999988	-0.086924999999999988	-0.086924999999999988	-0.086924999999999988	
elbow	q	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
elbow	q	3	-0.15055851644792467	-0.15055851644792467	-0.15055851644792467	-0.15055851644792467	-0.15055851644792467	-0.15055851644792467	-0.15055851644792467	-0.15055851644792467	-0.15055851644792467	-0.15055851644792467	-0.15055851644792467	-0.15055851644792467	-0.15055851644792467	-0.15055851644792467	-0.15055851644792467	-0.15055851644792467	-0.15055851644792467	-0.15055851644792467	-0.15055851644792467	-0.15055851644792467	-0.15055851644792467	-0.15055851644792467	-0.15055851644792467	-0.15055851644792467	-0.15055851644792467	-0.15055851644792467	-0.15055851644792467	-0.15055851644792467	-0.15055851644792467	-0.15055851644792467	-0.15055851644792467	-0.15055851644792467	-0.15055851644792467	-0.15055851644792467	-0.15055851644792467	-0.15055851644792467	-0.15055851644792467	-0.15055851644792467	-0.15055851644792467	-0.15055851644792467	-0.15055851644792467	-0.15055851644792467	
