rotation_angle	 	 	initial	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
upperarm	ellipsoid	a	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	
upperarm	ellipsoid	b	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	
upperarm	ellipsoid	c	0.17385	0.17385	0.17385	0.17385	0.17385	0.17385	0.17385	0.17385	0.17385	0.17385	0.17385	0.17385	0.17385	0.17385	0.17385	0.17385	0.17385	0.17385	0.17385	0.17385	0.17385	0.17385	0.17385	0.17385	0.17385	0.17385	0.17385	0.17385	0.17385	0.17385	0.17385	0.17385	0.17385	0.17385	0.17385	0.17385	0.17385	0.17385	0.17385	0.17385	0.17385	0.17385	
upperarm	ellipsoid	rotationaxis1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
upperarm	ellipsoid	rotationaxis2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
upperarm	ellipsoid	rotationaxis3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
upperarm	ellipsoid	rotationangle	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	
upperarm	ellipsoid	translationaxis1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
upperarm	ellipsoid	translationaxis2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
upperarm	ellipsoid	translationaxis3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
elbow	ellipsoid	a	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	
elbow	ellipsoid	b	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	
elbow	ellipsoid	c	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	
elbow	ellipsoid	rotationaxis1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
elbow	ellipsoid	rotationaxis2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	-1	-1	
elbow	ellipsoid	rotationaxis3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
elbow	ellipsoid	rotationangle	30	30	34	38	42	46	50	54	58	62	66	70	74	78	82	86	90	94	98	102	106	110	114	118	122	126	130	134	138	142	146	150	154	158	162	166	170	174	178	178	174	170	
elbow	ellipsoid	translationaxis1	-0.086925	-0.086925	-0.086925	-0.086925	-0.086925	-0.086925	-0.086925	-0.086925	-0.086925	-0.086925	-0.086925	-0.086925	-0.086925	-0.086925	-0.086925	-0.086925	-0.086925	-0.086925	-0.086925	-0.086925	-0.086925	-0.086925	-0.086925	-0.086925	-0.086925	-0.086925	-0.086925	-0.086925	-0.086925	-0.086925	-0.086925	-0.086925	-0.086925	-0.086925	-0.086925	-0.086925	-0.086925	-0.086925	-0.086925	-0.086925	-0.086925	-0.086925	
elbow	ellipsoid	translationaxis2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
elbow	ellipsoid	translationaxis3	-0.150559	-0.150559	-0.150559	-0.150559	-0.150559	-0.150559	-0.150559	-0.150559	-0.150559	-0.150559	-0.150559	-0.150559	-0.150559	-0.150559	-0.150559	-0.150559	-0.150559	-0.150559	-0.150559	-0.150559	-0.150559	-0.150559	-0.150559	-0.150559	-0.150559	-0.150559	-0.150559	-0.150559	-0.150559	-0.150559	-0.150559	-0.150559	-0.150559	-0.150559	-0.150559	-0.150559	-0.150559	-0.150559	-0.150559	-0.150559	-0.150559	-0.150559	
forearm	ellipsoid	a	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	
forearm	ellipsoid	b	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	
forearm	ellipsoid	c	0.142	0.142	0.142	0.142	0.142	0.142	0.142	0.142	0.142	0.142	0.142	0.142	0.142	0.142	0.142	0.142	0.142	0.142	0.142	0.142	0.142	0.142	0.142	0.142	0.142	0.142	0.142	0.142	0.142	0.142	0.142	0.142	0.142	0.142	0.142	0.142	0.142	0.142	0.142	0.142	0.142	0.142	
forearm	ellipsoid	rotationaxis1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
forearm	ellipsoid	rotationaxis2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	-1	-1	
forearm	ellipsoid	rotationaxis3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
forearm	ellipsoid	rotationangle	30	30	34	38	42	46	50	54	58	62	66	70	74	78	82	86	90	94	98	102	106	110	114	118	122	126	130	134	138	142	146	150	154	158	162	166	170	174	178	178	174	170	
forearm	ellipsoid	translationaxis1	-0.157925	-0.157925	-0.16633	-0.174349	-0.181942	-0.189071	-0.195703	-0.201805	-0.207348	-0.212304	-0.216648	-0.220361	-0.223424	-0.225822	-0.227543	-0.228579	-0.228925	-0.228579	-0.227543	-0.225822	-0.223424	-0.220361	-0.216648	-0.212304	-0.207348	-0.201805	-0.195703	-0.189071	-0.181942	-0.174349	-0.16633	-0.157925	-0.149174	-0.140119	-0.130805	-0.121278	-0.111583	-0.101768	-0.0918807	-0.0819693	-0.072082	-0.062267	
forearm	ellipsoid	translationaxis2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
forearm	ellipsoid	translationaxis3	-0.273534	-0.273534	-0.268282	-0.262456	-0.256085	-0.2492	-0.241834	-0.234024	-0.225807	-0.217223	-0.208315	-0.199125	-0.189699	-0.180082	-0.170321	-0.160464	-0.150559	-0.140653	-0.130796	-0.121035	-0.111418	-0.101992	-0.0928019	-0.0838936	-0.07531	-0.067093	-0.0592827	-0.051917	-0.045032	-0.038661	-0.0328352	-0.0275829	-0.0229298	-0.0188984	-0.0155085	-0.0127765	-0.0107158	-0.00933641	-0.00864502	-0.00864502	-0.00933641	-0.0107158	
