rotation_angle	 	 	initial	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
triceps	eta	1	0	1.8708107221782953e-31	-5.6979166893209328e-30	-5.9623595715595561e-18	-1.3994992019163377e-09	-1.776118427154299e-09	2.2618959037165043e-23	1.6649351517631481e-28	1.3045370225443837e-29	1.8271751907183082e-29	-3.2635064038405291e-26	3.2026265318883544e-30	-4.595970458198375e-30	8.7733868653710443e-09	-1.0877219320148232e-22	-6.1155943079868969e-35	-5.5551910138035508e-33	-2.4448680871278657e-31	3.3391051986327652e-30	6.4499501887917843e-10	1.1025789309499238e-08	4.2161223282170631e-24	4.8590134617896754e-11	-1.6263178961886747e-09	-2.0133692414258079e-09	3.0083974786209162e-12	-1.7535020609134798e-09	2.7263157364605767e-09	-1.0038072068111053e-16	-3.3141972658713331e-25	-1.3179902121019443e-09	-2.5712401062352413e-21	4.9135295750968818e-31	-1.6271269758076135e-09	-1.9807134887534806e-17	-6.284673153507469e-30	-1.0130570922474593e-31	-2.1920544186141851e-33	-6.3966977539325785e-17	-1.774995356313405e-28	-7.9272828095066602e-32	-1.1347997937445692e-27	
triceps	eta	2	0	1.3744760076567156e-27	1.3966480546569378e-28	-9.7012941987708438e-24	-7.1715365149640337e-13	-4.9535750661950174e-13	4.0577847480672271e-27	6.4369994394713158e-24	2.9883700037637229e-23	-1.1638029729879048e-21	-6.6630838512306075e-21	-1.2462027983978735e-24	9.3365361514810313e-27	6.6507103252304601e-13	-3.3736647724997373e-27	2.9420518787529568e-30	7.7310676903550224e-32	-1.8902228466369098e-21	7.35523799671585e-25	2.9051504560611153e-14	5.093680383456439e-13	1.0084949190439044e-28	3.1982633685844082e-15	-6.2791024480428646e-13	-8.0304578964884286e-13	-6.6811358571076039e-16	-8.6620022846022758e-13	-5.848307213158091e-14	-1.3372567825979924e-15	-4.0627246395187478e-24	-1.0518799559352844e-12	-6.6982307883324804e-25	1.044976747704864e-27	-8.1851003114131171e-13	-9.3160565115234241e-21	-1.6983244775357318e-30	1.1511744022147668e-28	1.0289903772339399e-30	1.763358467070934e-19	2.4398120651044351e-27	-4.9359890933237885e-30	-2.2765884818426794e-24	
triceps	eta	3	0	-5.1739466360649465e-29	5.491242845622483e-23	-8.5206479642776469e-23	-3.2112317772318737e-11	-1.9297729614830917e-11	1.596537622145742e-25	4.1013722632407109e-23	6.781641091771915e-24	-1.3468880485241771e-23	1.1763557483271949e-25	1.9232252513059765e-24	4.4675042107513539e-23	2.1998289725552985e-12	-1.226012104746322e-26	6.5729666996517303e-31	6.2049427020136259e-30	-1.1343638627442334e-24	2.9397262922698415e-23	2.6955258830075494e-14	4.1311335111328449e-13	-7.5355042413813013e-29	1.9514991634853472e-15	-3.8952231746160593e-13	-4.7679947348403698e-13	-3.0562456214231231e-16	-5.0543014903925697e-13	-3.5367182443388846e-14	-4.2500279828069491e-16	-1.2062964856528686e-24	-7.8976884319625258e-13	-4.5931406022747595e-25	2.2626959541350438e-27	-9.6369375861233398e-13	-1.0918820400086476e-20	1.390489601529762e-29	1.6020912695361176e-26	-1.434001808107968e-30	-3.4776251582307488e-20	-1.7482204707898279e-29	6.6624206856548277e-29	-8.3178972440614143e-24	
triceps	eta	4	0	9.4475624932568587e-32	-6.9303607286465235e-29	-5.5298637018411245e-17	-8.4156013537345304e-10	-1.4966028648140405e-09	4.559252761730594e-23	2.8920554031047142e-30	2.5825115691244532e-27	-1.0476166423842072e-25	-7.7074041614207824e-25	-5.8876216444115569e-30	5.5773014855808477e-29	1.4637856749731396e-08	-4.9775270242951662e-22	-2.8167378157452267e-33	1.015052852209239e-31	-6.6736310377495152e-27	-1.624246512279271e-30	4.4529102922563514e-10	1.4814625386734435e-08	1.4186446168023141e-23	9.8960356958279239e-11	-1.5046581028168555e-09	-1.054556745192511e-09	5.1560051295839425e-12	-1.020939287572662e-09	1.0849932737871867e-08	5.8953601266608524e-17	2.3082407618602614e-25	-3.4970626112022373e-10	-2.0522119447043412e-21	-2.2882110180893078e-31	-5.2684504506336932e-10	-7.3679853668201507e-18	-3.6084018431824468e-31	3.0974444193798099e-28	-5.5758476187955715e-33	5.4809321568731085e-17	4.6812297211101309e-28	-5.6691347135958082e-31	-1.902955177181845e-28	
triceps	eta	5	0	-1.4014043254376975e-32	-1.6853813073442254e-32	-5.1081076866402932e-23	-8.8418838640562043e-13	-6.1162218437978095e-13	1.133300764637036e-26	-3.3069605654173477e-30	2.4344893690416759e-31	1.0508799383140547e-30	-6.9666364099765097e-31	-4.0490409448403295e-31	1.122013091202932e-27	8.2835536241591077e-13	-9.3954716629522576e-27	-6.5727896343866529e-34	1.3566440447915355e-33	2.0767611429835474e-31	-8.1985377205014204e-30	3.6720029102434846e-14	6.4535896191070146e-13	2.0259446901054803e-28	3.8389086253381746e-15	-8.0065227207446122e-13	-1.0268999853843652e-12	-1.0937346852903044e-15	-1.1136880495371302e-12	-9.3508302054189052e-14	-2.8308265797041568e-18	-9.1182056624738341e-27	-1.3648706636239611e-12	-2.0034549047211848e-24	-4.0035698081462656e-33	-1.0705928189643513e-12	-1.2749071215356047e-20	-2.6603814780103897e-33	-1.5417549405640555e-33	-2.027659796276288e-34	-1.2664092516589099e-20	-1.5863133899189563e-32	2.6311116065917875e-34	-5.8468427487621906e-31	
triceps	eta	6	0	8.0194647520965391e-30	1.2538090408338169e-29	-6.0750923173258351e-22	-3.7712187558043468e-11	-2.3095209363416125e-11	4.2514764855392236e-25	-7.0294666261524048e-30	8.3204975255678203e-31	-1.2031491492729245e-31	-8.3538629013652859e-31	-3.5612569262380531e-31	8.6858701373737527e-28	2.7990963644248759e-12	-3.5615152414876051e-26	3.7510383359526339e-34	1.0369794774178091e-33	-5.2580257956781441e-32	-9.8374080807816395e-31	3.4416977427012782e-14	5.2748405832553692e-13	1.7013934758909056e-28	2.1568475205224405e-15	-4.9688776681283423e-13	-6.0826951568414848e-13	-8.556918259351291e-16	-6.4461786258243817e-13	-5.7465279365254897e-14	-1.9565316358635905e-18	-6.2540731304649313e-27	-1.0045555859461677e-12	-1.3291288345072402e-24	3.6006539231743125e-32	-1.2242838940630512e-12	-1.4433863834802407e-20	3.9474833236424916e-33	1.76411370157746e-32	4.724180016242001e-33	-2.56481358082001e-19	4.1082998118583338e-29	1.6328546583366765e-31	-6.7848217205201067e-29	
triceps	eta	7	0	-6.0775187582757293e-32	-4.0501076689512884e-31	-3.1410589451284431e-16	5.4946136887533958e-10	-1.7672886180454161e-10	9.0459673966434002e-24	-1.7381208199253339e-29	-4.4954302312229114e-30	-8.5112524948688046e-30	-3.3923694779092566e-28	7.0772683463958185e-30	5.5665078531831998e-30	2.4777375681909798e-08	-1.8054305875672269e-21	4.1428446072774017e-33	-3.5099807615916568e-33	-1.1285717720410149e-30	-1.807231930301653e-29	9.7874913459576979e-12	2.3242402506318874e-08	4.4045957924011094e-23	2.3396361597141068e-10	1.1187112800606696e-09	1.8303804308430862e-09	1.068925611240467e-11	1.3480404560147946e-09	1.5877678663185639e-08	-3.7153122167007664e-18	-1.796443811548512e-26	2.2196497560899644e-09	3.2408374336432654e-20	8.1055418032896092e-30	2.6893448768722791e-09	4.5290021918795672e-17	2.9786831247576789e-30	7.4966363482531913e-34	7.3975613733643497e-34	-2.2456381987650851e-17	-4.9923886100001941e-28	-6.7474375821996984e-33	-9.4462619413973647e-30	
triceps	eta	8	0	-3.6798780246187162e-32	-3.8653050858299792e-32	-1.5197966344911111e-22	-1.1027653985946512e-12	-7.6406702562724271e-13	2.4235451752561989e-26	4.6482478189346419e-30	-6.2686776842439589e-31	-2.8426571992383804e-30	8.8320886669787936e-31	-1.0754465489425821e-31	-9.2428796272464372e-32	1.0455186119976507e-12	-2.0274492554669847e-26	-2.5791977370240441e-35	4.1034428776859665e-33	6.7435126377535881e-31	4.809254317665312e-30	4.7082095915184668e-14	8.2979420174126673e-13	4.2626828941066296e-28	4.799405391846159e-15	-1.0370719568933289e-12	-1.3342577976408227e-12	-2.1488851291443693e-15	-1.4559312998426303e-12	-1.4468638440702325e-13	-2.5062002515109537e-18	-8.6181789007549911e-27	-1.8030396695654349e-12	-4.6212974900612669e-24	-7.5648508615360359e-33	-1.4273923548564652e-12	-1.7865759318947418e-20	4.6566969935534909e-34	1.2223228344376886e-32	-5.1955909035340176e-33	-5.3678105373632985e-20	-1.8619272744955569e-31	5.706367092735529e-34	1.1736699437737881e-30	
triceps	eta	9	0	5.9011515472512575e-32	-8.7222840575874915e-32	-2.2206159110350992e-21	-4.4489964376335253e-11	-2.7808248800102502e-11	8.5483991245687132e-25	-7.2625122530923391e-29	-2.1764660096122747e-28	-8.7978115297480196e-27	-9.9956788264114508e-30	-7.0216947495639077e-31	6.9350480087628282e-30	3.6151382748179961e-12	-7.9314113815173666e-26	5.655706001085128e-33	-1.4606087160417484e-32	-4.9423315085913218e-31	-1.0660298534497582e-31	4.4627537098872106e-14	6.8411739214378411e-13	3.6174633811866079e-28	2.4390086620494468e-15	-6.4381049611365733e-13	-7.881540575079284e-13	-1.6338842426685047e-15	-8.3499012086737409e-13	-9.0604346229279128e-14	3.7724023454688752e-18	1.2812550708084383e-26	-1.2972049169810759e-12	-2.9517273826144042e-24	4.3786498330304176e-33	-1.5785241272907248e-12	-1.9430133430994255e-20	5.3011415675826553e-34	1.0011741861779877e-32	-1.5034026695092095e-33	-8.1005872269781656e-19	-2.2324266016889999e-30	-8.0908797148632303e-35	-3.7934880557673234e-30	
triceps	eta	10	0	1.0891866951105915e-31	1.0613965752351559e-30	-1.5626349566144494e-15	3.4938718742183241e-09	2.7107402165759022e-09	-1.5802142638037237e-22	2.0136632382028395e-29	5.5905266495534235e-30	-7.9605618820897916e-28	-4.7066356823473475e-27	-4.2777663634851368e-30	2.5627909630683869e-31	4.4300277577069986e-08	-6.4713456898320788e-21	-3.707669710940779e-33	-9.8903120549770954e-33	-3.5957874173496049e-30	1.1940178385738142e-29	1.3645814308779896e-09	4.1212528018725921e-08	1.4890708525362984e-22	6.9463211864836087e-10	8.5277006619206057e-09	1.0014969536382e-08	3.067592401623584e-11	6.7298387065777481e-09	2.9019494147680031e-08	3.0166296468250135e-18	1.9205338209635774e-26	8.494880555368705e-09	3.2227538854511431e-19	2.2399392058334102e-28	1.0866304881420067e-08	2.3907399692524761e-16	3.8451997822855376e-29	4.4264802448616134e-32	2.8197650897580565e-33	-1.3601453248174982e-14	-8.6908198201004919e-25	-9.1807375711817004e-33	-1.2169617739356685e-29	
